p1_sets,p2_sets,sub_set,game_no,p1_games,p2_games,sub_game,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,sub_point,game_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,sub_point_squared,serve_no_squared,player1_quality,player2_quality,elo1,elo2,elo1_squared,elo2_squared,player1_quality_squared,player2_quality_squared
0,0,0,1,0,0,0,0,0,2,1,2,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.403495441,0.596504559,0.471086378,0.528913622,0.442365485,0.557634515,0.313922729,0.686077271
0,0,0,1,0,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.403495441,0.596504559,0.468746547,0.531253453,0.437736365,0.562263635,0.313922729,0.686077271
0,0,0,1,0,0,0,1,1,2,2,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.403495441,0.596504559,0.477165333,0.522834667,0.45442572,0.54557428,0.313922729,0.686077271
0,0,0,1,0,0,0,2,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.403495441,0.596504559,0.484886361,0.515113639,0.469800315,0.530199685,0.313922729,0.686077271
0,0,0,1,0,0,0,2,2,2,1,1,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0.403495441,0.596504559,0.481277077,0.518722923,0.462606587,0.537393413,0.313922729,0.686077271
0,0,0,1,0,0,0,3,2,2,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.403495441,0.596504559,0.488609858,0.511390142,0.477231532,0.522768468,0.313922729,0.686077271
0,0,0,1,0,0,0,3,3,2,1,2,3,4,-1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0.403495441,0.596504559,0.484605836,0.515394164,0.46924083,0.53075917,0.313922729,0.686077271
0,0,0,1,0,0,0,3,4,2,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.403495441,0.596504559,0.481025534,0.518974466,0.462105641,0.537894359,0.313922729,0.686077271
0,0,0,1,0,0,0,3,3,2,1,2,4,5,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.403495441,0.596504559,0.4883829,0.5116171,0.476778335,0.523221665,0.313922729,0.686077271
0,0,0,1,0,0,0,3,4,2,1,2,4,6,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.403495441,0.596504559,0.484403435,0.515596565,0.468837192,0.531162808,0.313922729,0.686077271
0,0,0,1,0,0,0,3,3,2,1,1,5,6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.585185185,0.414814815,0.480843973,0.519156027,0.461744099,0.538255901,0.665564679,0.334435321
0,0,0,1,0,0,0,3,4,2,1,2,5,7,-2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.585185185,0.414814815,0.477640746,0.522359254,0.455370738,0.544629262,0.665564679,0.334435321
0,0,0,1,0,0,0,3,3,2,1,1,6,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.585185185,0.414814815,0.474740134,0.525259866,0.449608878,0.550391122,0.665564679,0.334435321
0,0,0,1,0,0,0,3,4,2,1,2,6,8,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0.585185185,0.414814815,0.472097661,0.527902339,0.444368567,0.555631433,0.665564679,0.334435321
0,0,0,2,0,1,-1,0,0,1,2,2,6,9,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0.585185185,0.414814815,0.480254892,0.519745108,0.460571272,0.539428728,0.665564679,0.334435321
0,0,0,2,0,1,-1,1,0,1,1,1,7,9,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.585185185,0.414814815,0.487686918,0.512313082,0.475388761,0.524611239,0.665564679,0.334435321
0,0,0,2,0,1,-1,1,1,1,1,2,7,10,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0.482667496,0.517332504,0.483782381,0.516217619,0.467598849,0.532401151,0.465376597,0.534623403
0,0,0,2,0,1,-1,1,2,1,1,2,7,11,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0.482667496,0.517332504,0.480286489,0.519713511,0.460634172,0.539365828,0.465376597,0.534623403
0,0,0,2,0,1,-1,1,3,1,1,2,7,12,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0.482667496,0.517332504,0.487715474,0.512284526,0.475445769,0.524554231,0.465376597,0.534623403
0,0,0,3,0,2,-2,0,0,2,1,2,7,13,-6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,1,0.482667496,0.517332504,0.494386146,0.505613854,0.488773708,0.511226292,0.465376597,0.534623403
0,0,0,3,0,2,-2,1,0,2,2,1,8,13,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,25,4,0.482667496,0.517332504,0.489740131,0.510259869,0.479488898,0.520511102,0.465376597,0.534623403
0,0,0,3,0,2,-2,2,0,2,1,1,9,13,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0.482667496,0.517332504,0.485612952,0.514387048,0.471249708,0.528750292,0.465376597,0.534623403
0,0,0,3,0,2,-2,2,1,2,1,2,9,14,-5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0.581799053,0.418200947,0.481928081,0.518071919,0.463903319,0.536096681,0.659333646,0.340666354
0,0,0,3,0,2,-2,2,2,2,1,2,9,15,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0.581799053,0.418200947,0.478618483,0.521381517,0.457315023,0.542684977,0.659333646,0.340666354
0,0,0,3,0,2,-2,2,3,2,1,2,9,16,-7,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,1,0.581799053,0.418200947,0.486205678,0.513794322,0.472432338,0.527567662,0.659333646,0.340666354
0,0,0,3,0,2,-2,3,3,2,1,1,10,16,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0.581799053,0.418200947,0.482458605,0.517541395,0.464960336,0.535039664,0.659333646,0.340666354
0,0,0,3,0,2,-2,3,4,2,1,2,10,17,-7,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,1,0.581799053,0.418200947,0.479096258,0.520903742,0.458265462,0.541734538,0.659333646,0.340666354
0,0,0,4,0,3,-3,0,0,1,1,2,10,18,-8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,0.581799053,0.418200947,0.486638629,0.513361371,0.473296328,0.526703672,0.659333646,0.340666354
0,0,0,4,0,3,-3,1,0,1,1,1,11,18,-7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49,1,0.581799053,0.418200947,0.493424096,0.506575904,0.486850467,0.513149533,0.659333646,0.340666354
0,0,0,4,0,3,-3,2,0,1,1,1,12,18,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0.581799053,0.418200947,0.48888691,0.51111309,0.477784795,0.522215205,0.659333646,0.340666354
0,0,0,4,0,3,-3,2,1,1,1,2,12,19,-7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49,1,0.452459963,0.547540037,0.484852831,0.515147169,0.469733439,0.530266561,0.405771769,0.594228231
0,0,0,4,0,3,-3,3,1,1,1,1,13,19,-6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,1,0.452459963,0.547540037,0.481247017,0.518752983,0.462546719,0.537453281,0.405771769,0.594228231
0,0,0,5,1,3,-2,0,0,2,1,1,14,19,-5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0.452459963,0.547540037,0.478004469,0.521995531,0.456093906,0.543906094,0.405771769,0.594228231
0,0,0,5,1,3,-2,1,0,2,1,1,15,19,-4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,1,0.452459963,0.547540037,0.485648675,0.514351325,0.471320978,0.528679022,0.405771769,0.594228231
0,0,0,5,1,3,-2,2,0,2,1,1,16,19,-3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0.452459963,0.547540037,0.481960069,0.518039931,0.463967044,0.536032956,0.405771769,0.594228231
0,0,0,5,1,3,-2,3,0,2,1,1,17,19,-2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.607068607,0.392931393,0.478647303,0.521352697,0.457372348,0.542627652,0.704748523,0.295251477
0,0,0,5,1,3,-2,3,1,2,1,2,17,20,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0.607068607,0.392931393,0.486231805,0.513768195,0.472484474,0.527515526,0.704748523,0.295251477
0,0,0,6,2,3,-1,0,0,1,1,1,18,20,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.607068607,0.392931393,0.493060252,0.506939748,0.486123177,0.513876823,0.704748523,0.295251477
0,0,0,6,2,3,-1,1,0,1,1,1,19,20,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.607068607,0.392931393,0.488564062,0.511435938,0.477140082,0.522859918,0.704748523,0.295251477
0,0,0,6,2,3,-1,2,0,1,1,1,20,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.607068607,0.392931393,0.484565,0.515435,0.469159389,0.530840611,0.704748523,0.295251477
0,0,0,6,2,3,-1,2,1,1,1,2,20,21,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.607068607,0.392931393,0.49156718,0.50843282,0.483139156,0.516860844,0.704748523,0.295251477
0,0,0,6,2,3,-1,3,1,1,2,1,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.422830269,0.577169731,0.497816421,0.502183579,0.495632926,0.504367074,0.34925147,0.65074853
0,0,0,7,3,3,0,0,0,2,1,1,22,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.422830269,0.577169731,0.49277849,0.50722151,0.485559992,0.514440008,0.34925147,0.65074853
0,0,0,7,3,3,0,0,1,2,1,2,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.422830269,0.577169731,0.48831398,0.51168602,0.47664072,0.52335928,0.34925147,0.65074853
0,0,0,7,3,3,0,0,2,2,1,2,22,23,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.422830269,0.577169731,0.48434196,0.51565804,0.468714602,0.531285398,0.34925147,0.65074853
0,0,0,7,3,3,0,1,2,2,1,1,23,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.613095238,0.386904762,0.480788817,0.519211183,0.461634272,0.538365728,0.71518134,0.28481866
0,0,0,7,3,3,0,2,2,2,1,1,24,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.613095238,0.386904762,0.488169221,0.511830779,0.476351683,0.523648317,0.71518134,0.28481866
0,0,0,7,3,3,0,2,3,2,2,2,24,24,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.613095238,0.386904762,0.484212822,0.515787178,0.468457091,0.531542909,0.71518134,0.28481866
0,0,0,8,3,4,-1,0,0,1,2,2,24,25,-1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.613095238,0.386904762,0.491251204,0.508748796,0.482507764,0.517492236,0.71518134,0.28481866
0,0,0,8,3,4,-1,0,1,1,1,2,24,26,-2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0.613095238,0.386904762,0.497535581,0.502464419,0.495071282,0.504928718,0.71518134,0.28481866
0,0,0,8,3,4,-1,0,2,1,1,2,24,27,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,9,1,0.49034749,0.50965251,0.503108172,0.496891828,0.506216104,0.493783896,0.480702173,0.519297827
0,0,0,8,3,4,-1,1,2,1,1,1,25,27,-2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.49034749,0.50965251,0.508040012,0.491959988,0.516075867,0.483924133,0.480702173,0.519297827
0,0,0,8,3,4,-1,2,2,1,1,1,26,27,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.49034749,0.50965251,0.512412843,0.487587157,0.524810395,0.475189605,0.480702173,0.519297827
0,0,0,8,3,4,-1,2,3,1,1,2,26,28,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.49034749,0.50965251,0.505728415,0.494271585,0.511455327,0.488544673,0.480702173,0.519297827
0,0,0,9,3,5,-2,0,0,2,1,2,26,29,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0.49034749,0.50965251,0.499783168,0.500216832,0.499566336,0.500433664,0.480702173,0.519297827
0,0,0,9,3,5,-2,0,1,2,1,2,26,30,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0.49034749,0.50965251,0.494518995,0.505481005,0.489039307,0.510960693,0.480702173,0.519297827
0,0,0,9,3,5,-2,1,1,2,1,1,27,30,-3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0.49034749,0.50965251,0.500436178,0.499563822,0.500872356,0.499127644,0.480702173,0.519297827
0,0,0,9,3,5,-2,2,1,2,1,1,28,30,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.49034749,0.50965251,0.505675099,0.494324901,0.511348736,0.488651264,0.480702173,0.519297827
0,0,0,9,3,5,-2,2,2,2,1,2,28,31,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0.49034749,0.50965251,0.499735896,0.500264104,0.499471792,0.500528208,0.480702173,0.519297827
0,0,0,9,3,5,-2,3,2,2,2,1,29,31,-2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,0.49034749,0.50965251,0.505055438,0.494944562,0.510109843,0.489890157,0.480702173,0.519297827
0,0,0,9,3,5,-2,3,3,2,1,2,29,32,-3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0.49704142,0.50295858,0.509764884,0.490235116,0.519522321,0.480477679,0.494083047,0.505916953
0,0,0,9,3,5,-2,4,3,2,1,1,30,32,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.49704142,0.50295858,0.503368154,0.496631846,0.506736001,0.493263999,0.494083047,0.505916953
0,0,0,10,4,5,-1,0,0,1,1,1,31,32,-1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.49704142,0.50295858,0.50827021,0.49172979,0.516535896,0.483464104,0.494083047,0.505916953
0,0,0,10,4,5,-1,1,0,1,1,1,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.49704142,0.50295858,0.512617357,0.487382643,0.525218655,0.474781345,0.494083047,0.505916953
0,0,0,10,4,5,-1,1,1,1,1,2,32,33,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.49704142,0.50295858,0.505911048,0.494088952,0.511820444,0.488179556,0.494083047,0.505916953
0,0,0,10,4,5,-1,2,1,1,2,1,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.49704142,0.50295858,0.51052338,0.48947662,0.521037442,0.478962558,0.494083047,0.505916953
0,0,0,10,4,5,-1,3,1,1,1,1,34,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.49704142,0.50295858,0.50404345,0.49595655,0.50808637,0.49191363,0.494083047,0.505916953
0,0,0,11,5,5,0,0,0,2,1,1,35,33,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.49704142,0.50295858,0.498289993,0.501710007,0.496580025,0.503419975,0.494083047,0.505916953
0,0,0,11,5,5,0,0,1,2,1,2,35,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.517789461,0.482210539,0.493197637,0.506802363,0.486397792,0.513602208,0.535533941,0.464466059
0,0,0,11,5,5,0,1,1,2,1,1,36,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.517789461,0.482210539,0.499264251,0.500735749,0.498528505,0.501471495,0.535533941,0.464466059
0,0,0,11,5,5,0,2,1,2,1,1,37,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0.517789461,0.482210539,0.504638086,0.495361914,0.509275374,0.490724626,0.535533941,0.464466059
0,0,0,11,5,5,0,2,2,2,1,2,37,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.517789461,0.482210539,0.498816777,0.501183223,0.497633568,0.502366432,0.535533941,0.464466059
0,0,0,11,5,5,0,3,2,2,1,1,38,35,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0.517789461,0.482210539,0.493663834,0.506336166,0.487329704,0.512670296,0.535533941,0.464466059
0,0,0,12,6,5,1,0,0,1,1,1,39,35,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0.517789461,0.482210539,0.499677858,0.500322142,0.499355717,0.500644283,0.535533941,0.464466059
0,0,0,12,6,5,1,1,0,1,1,1,40,35,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,1,0.517789461,0.482210539,0.494425809,0.505574191,0.488853004,0.511146996,0.535533941,0.464466059
0,0,0,12,6,5,1,1,1,1,1,2,40,36,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,1,0.517789461,0.482210539,0.489775295,0.510224705,0.479559138,0.520440862,0.535533941,0.464466059
0,0,0,12,6,5,1,1,2,1,1,2,40,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0.568224299,0.431775701,0.485644262,0.514355738,0.471312173,0.528687827,0.633954602,0.366045398
0,0,0,12,6,5,1,1,3,1,1,2,40,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.568224299,0.431775701,0.481956117,0.518043883,0.463959172,0.536040828,0.633954602,0.366045398
0,0,0,12,6,5,1,2,3,1,1,1,41,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0.568224299,0.431775701,0.489222016,0.510777984,0.478454043,0.521545957,0.633954602,0.366045398
0,0,0,13,6,6,0,0,0,2,1,2,41,39,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.568224299,0.431775701,0.495729738,0.504270262,0.491460099,0.508539901,0.633954602,0.366045398
0,0,0,13,6,6,0,0,1,1,1,2,41,40,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.568224299,0.431775701,0.501509095,0.498490905,0.503018163,0.496981837,0.633954602,0.366045398
0,0,0,13,6,6,0,0,2,2,1,2,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.568224299,0.431775701,0.49604628,0.50395372,0.492093055,0.507906945,0.633954602,0.366045398
0,0,0,13,6,6,0,0,3,1,1,2,41,42,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.568224299,0.431775701,0.491211213,0.508788787,0.482427854,0.517572146,0.633954602,0.366045398
0,0,0,13,6,6,0,1,3,2,1,1,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.568224299,0.431775701,0.497500029,0.502499971,0.495000184,0.504999816,0.633954602,0.366045398
0,0,0,13,6,6,0,1,4,1,1,2,42,43,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.568224299,0.431775701,0.492498429,0.507501571,0.485000235,0.514999765,0.633954602,0.366045398
0,0,0,13,6,6,0,2,4,2,1,1,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.568224299,0.431775701,0.498643621,0.501356379,0.497287262,0.502712738,0.633954602,0.366045398
0,0,0,13,6,6,0,3,4,1,1,1,44,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.493119266,0.506880734,0.504088871,0.495911129,0.508177194,0.491822806,0.486241138,0.513758862
0,0,0,13,6,6,0,4,4,2,1,1,45,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.493119266,0.506880734,0.508908497,0.491091503,0.51781134,0.48218866,0.486241138,0.513758862
0,0,0,13,6,6,0,4,5,1,1,2,45,44,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.493119266,0.506880734,0.51318467,0.48681533,0.526351017,0.473648983,0.486241138,0.513758862
0,1,-1,1,0,0,0,0,0,2,2,2,45,45,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.493119266,0.506880734,0.506417938,0.493582062,0.512833762,0.487166238,0.486241138,0.513758862
0,1,-1,1,0,0,0,1,0,2,1,1,46,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.493119266,0.506880734,0.500394679,0.499605321,0.500789358,0.499210642,0.486241138,0.513758862
0,1,-1,1,0,0,0,2,0,2,1,1,47,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.493119266,0.506880734,0.495060105,0.504939895,0.490121174,0.509878826,0.486241138,0.513758862
0,1,-1,1,0,0,0,2,1,2,1,2,47,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.424131627,0.575868373,0.490337513,0.509662487,0.480682241,0.519317759,0.351678221,0.648321779
0,1,-1,1,0,0,0,2,2,2,1,2,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.424131627,0.575868373,0.496722966,0.503277034,0.493446214,0.506553786,0.351678221,0.648321779
0,1,-1,1,0,0,0,2,3,2,1,2,47,48,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.424131627,0.575868373,0.502388746,0.497611254,0.504777384,0.495222616,0.351678221,0.648321779
0,1,-1,2,0,1,-1,0,0,1,1,2,47,49,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.424131627,0.575868373,0.507403116,0.492596884,0.514802986,0.485197014,0.351678221,0.648321779
0,1,-1,2,0,1,-1,1,0,1,1,1,48,49,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.533837169,0.466162831,0.511847238,0.488152762,0.523681181,0.476318819,0.567365816,0.432634184
0,1,-1,2,0,1,-1,1,1,1,1,2,48,50,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.533837169,0.466162831,0.505223591,0.494776409,0.510446041,0.489553959,0.567365816,0.432634184
0,1,-1,2,0,1,-1,2,1,1,1,1,49,50,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.533837169,0.466162831,0.509913917,0.490086083,0.519820042,0.480179958,0.567365816,0.432634184
